ID DEPATAMENTO,DEPARTAMENTO,ID MUNICIPIO,MUNICIPIO,ID LOCALIDAD,LOCALIDAD,AÑO SERVICIO,MES SERVICIO,ENERGÍA ACTIVA,ENERGÍA REACTIVA,POTENCIA MÁXIMA,DÍA DE DEMANDA MÁXIMA,FECHA DE DEMANDA MÁXIMA,PROMEDIO DIARIO EN HORAS
27,CHOCO,27250,EL LITORAL DEL SAN JUAN,27250000,SANTA GENOVEVA DE DOCORDO (EL LITORAL DEL SAN JUAN - CHOCO),2020,01,"70,549","36,589.31",186.25,Lunes,01/27/2020 07:45:00 PM,17.12
19,CAUCA,19809,TIMBIQUI,19809008,SANTA MARÍA (TIMBIQUÍ - CAUCA),2020,01,"12,368","4,382.45",75.2,Martes,01/28/2020 07:30:00 PM,6.36
52,NARINO,52696,SANTA BARBARA (ISCUANDE),52696017,SANTA RITA (SANTA BARBARA (ISCUANDE) - NARIÑO),2020,01,"2,126","1,005.28",37.76,Jueves,01/02/2020 07:30:00 PM,2.15
52,NARINO,52835,TUMACO,52835091,SANTA ROSA (TUMACO - NARIÑO),2020,01,"1,250",327.53,31.81,Martes,01/14/2020 07:30:00 PM,1.33
19,CAUCA,19809,TIMBIQUI,19809009,SANTA ROSA DE SAIJA (TIMBIQUÍ - CAUCA),2020,01,"2,410",671.33,24.31,Martes,01/28/2020 07:30:00 PM,4.1
99,VICHADA,99624,SANTA ROSALIA,99624000,SANTA ROSALÍA (SANTA ROSALÍA - VICHADA),2020,01,"130,724","68,539.96",323.52,Jueves,01/23/2020 07:15:00 PM,18
27,CHOCO,27745,SIPI,27745000,SIPI (SIPI - CHOCO),2020,01,"10,872","3,028.3",74.8,Miércoles,01/29/2020 08:15:00 PM,5.42
52,NARINO,52835,TUMACO,52835148,TABLÓN DULCE LA PAMPA (TUMACO - NARIÑO),2020,01,"1,487",388.42,28.1,Lunes,01/20/2020 08:15:00 PM,2.19
27,CHOCO,27001,QUIBDO,27001029,TAGACHI (QUIBDÓ - CHOCO),2020,01,"4,956","1,100.36",70.49,Miércoles,01/22/2020 07:45:00 PM,3.36
97,VAUPES,97666,TARAIRA,97666000,TARAIRA (TARAIRA - VAUPÉS),2020,01,"26,536","9,369.6",97.24,Miércoles,01/29/2020 06:15:00 PM,11.17
91,AMAZONAS,91798,TARAPACA,91798000,TARAPACÁ (TARAPACÁ - AMAZONAS),2020,01,"22,864","9,277.1",88.96,Jueves,01/30/2020 07:30:00 PM,10.19
27,CHOCO,27800,UNGUIA,27800005,TITUMATE (UNGUIA - CHOCO),2020,01,"9,739","4,013.75",69.78,Miércoles,01/08/2020 07:15:00 PM,5.4
27,CHOCO,27800,UNGUIA,27800000,UNGUIA (UNGUIA - CHOCO),2020,01,"257,893","93,063.85",779.24,Sábado,01/18/2020 07:00:00 PM,15.43
05,ANTIOQUIA,05873,VIGIA DEL FUERTE,05873002,VEGAEZ (VIGIA DEL FUERTE - ANTIOQUIA),2020,01,"2,217",539.22,39.07,Miércoles,01/29/2020 07:45:00 PM,3.17
05,ANTIOQUIA,05873,VIGIA DEL FUERTE,05873000,VIGÍA DEL FUERTE (VIGÍA DEL FUERTE - ANTIOQUIA),2020,01,"64,137","28,058.27",324.19,Jueves,01/23/2020 09:45:00 PM,8.11
19,CAUCA,19418,LOPEZ (MICAY),19418019,ZARAGOZA (LOPEZ (MICAY) - CAUCA),2020,01,"5,843","2,375.28",57.31,Martes,01/21/2020 07:15:00 PM,5.2
27,CHOCO,27006,ACANDI,27006000,ACANDI (ACANDI - CHOCO),2020,02,"388,026","175,431.3",965.36,Miércoles,02/19/2020 08:30:00 PM,18.47
52,NARINO,52390,LA TOLA,52390013,AMÁRALES (LA TOLA - NARIÑO),2020,02,"7,313","1,758.16",68.54,Martes,02/18/2020 06:30:00 PM,4.36
27,CHOCO,27800,UNGUIA,27800001,BALBOA (UNGUIA - CHOCO),2020,02,"16,006","6,577.6",81.56,Domingo,02/16/2020 08:00:00 PM,8.17
94,GUAINIA,94343,BARRANCO MINAS,94343000,BARRANCO MINAS (BARRANCO MINAS - GUAINíA),2020,02,"35,493","12,294.51",171.93,Sábado,02/22/2020 06:45:00 PM,9.34
52,NARINO,52250,EL CHARCO,52250023,BAZÁN (EL CHARCO - NARIÑO),2020,02,"19,205","8,764.8",105.6,Sábado,02/29/2020 09:00:00 PM,7.22
27,CHOCO,27099,BOJAYA (BELLAVISTA),27099000,BELLAVISTA (BOJAYÁ (BELLAVISTA) - CHOCO),2020,02,"89,554","33,313.63",220.95,Jueves,02/13/2020 08:30:00 PM,18.14
27,CHOCO,27425,MEDIO ATRATO (BETE),27425000,BETE (MEDIO ATRATO (BETE) - CHOCO),2020,02,"5,435","1,940",68,Miércoles,02/19/2020 10:00:00 PM,4.38
52,NARINO,52835,TUMACO,52835055,BOCAS DE CURAY (TUMACO - NARIÑO),2020,02,"8,950","1,416.6",57.6,Domingo,02/23/2020 11:45:00 AM,7.2
